census_region,age_group,sex,education_5,income_bin,pop_count
East South Central Division,30-44,Female,Some college or Associate degree,0-24999,64293
East South Central Division,30-44,Female,Some college or Associate degree,100000-149999,132682
East South Central Division,30-44,Female,Some college or Associate degree,150000+,90613
East South Central Division,30-44,Female,Some college or Associate degree,25000-49999,116792
East South Central Division,30-44,Female,Some college or Associate degree,50000-99999,210473
East South Central Division,30-44,Male,Bachelor degree,0-24999,8021
East South Central Division,30-44,Male,Bachelor degree,100000-149999,102441
East South Central Division,30-44,Male,Bachelor degree,150000+,135282
East South Central Division,30-44,Male,Bachelor degree,25000-49999,19285
East South Central Division,30-44,Male,Bachelor degree,50000-99999,88725
East South Central Division,30-44,Male,Graduate degree,0-24999,8396
East South Central Division,30-44,Male,Graduate degree,100000-149999,53399
East South Central Division,30-44,Male,Graduate degree,150000+,91623
East South Central Division,30-44,Male,Graduate degree,25000-49999,11205
East South Central Division,30-44,Male,Graduate degree,50000-99999,41470
East South Central Division,30-44,Male,High school degree,0-24999,47480
East South Central Division,30-44,Male,High school degree,100000-149999,106981
East South Central Division,30-44,Male,High school degree,150000+,63438
East South Central Division,30-44,Male,High school degree,25000-49999,90010
East South Central Division,30-44,Male,High school degree,50000-99999,215374
East South Central Division,30-44,Male,Less than high school degree,0-24999,23318
East South Central Division,30-44,Male,Less than high school degree,100000-149999,22335
East South Central Division,30-44,Male,Less than high school degree,150000+,16963
East South Central Division,30-44,Male,Less than high school degree,25000-49999,41082
East South Central Division,30-44,Male,Less than high school degree,50000-99999,56992
East South Central Division,30-44,Male,Some college or Associate degree,0-24999,29778
East South Central Division,30-44,Male,Some college or Associate degree,100000-149999,133225
East South Central Division,30-44,Male,Some college or Associate degree,150000+,96523
East South Central Division,30-44,Male,Some college or Associate degree,25000-49999,65071
East South Central Division,30-44,Male,Some college or Associate degree,50000-99999,194254
East South Central Division,45-60,Female,Bachelor degree,0-24999,15089
East South Central Division,45-60,Female,Bachelor degree,100000-149999,87170
East South Central Division,45-60,Female,Bachelor degree,150000+,150317
East South Central Division,45-60,Female,Bachelor degree,25000-49999,30617
East South Central Division,45-60,Female,Bachelor degree,50000-99999,83844
East South Central Division,45-60,Female,Graduate degree,0-24999,8527
East South Central Division,45-60,Female,Graduate degree,100000-149999,67411
East South Central Division,45-60,Female,Graduate degree,150000+,137037
East South Central Division,45-60,Female,Graduate degree,25000-49999,13520
East South Central Division,45-60,Female,Graduate degree,50000-99999,57334
East South Central Division,45-60,Female,High school degree,0-24999,86439
East South Central Division,45-60,Female,High school degree,100000-149999,90949
East South Central Division,45-60,Female,High school degree,150000+,65671
East South Central Division,45-60,Female,High school degree,25000-49999,101172
East South Central Division,45-60,Female,High school degree,50000-99999,172853
East South Central Division,45-60,Female,Less than high school degree,0-24999,50751
East South Central Division,45-60,Female,Less than high school degree,100000-149999,21210
East South Central Division,45-60,Female,Less than high school degree,150000+,13704
East South Central Division,45-60,Female,Less than high school degree,25000-49999,38693
East South Central Division,45-60,Female,Less than high school degree,50000-99999,49368
East South Central Division,45-60,Female,Some college or Associate degree,0-24999,65602
East South Central Division,45-60,Female,Some college or Associate degree,100000-149999,134387
East South Central Division,45-60,Female,Some college or Associate degree,150000+,130396
East South Central Division,45-60,Female,Some college or Associate degree,25000-49999,91273
East South Central Division,45-60,Female,Some college or Associate degree,50000-99999,188271
East South Central Division,45-60,Male,Bachelor degree,0-24999,11028
East South Central Division,45-60,Male,Bachelor degree,100000-149999,71082
East South Central Division,45-60,Male,Bachelor degree,150000+,155173
East South Central Division,45-60,Male,Bachelor degree,25000-49999,21426
East South Central Division,45-60,Male,Bachelor degree,50000-99999,59571
East South Central Division,45-60,Male,Graduate degree,0-24999,4633
East South Central Division,45-60,Male,Graduate degree,100000-149999,45094
East South Central Division,45-60,Male,Graduate degree,150000+,111428
East South Central Division,45-60,Male,Graduate degree,25000-49999,6178
East South Central Division,45-60,Male,Graduate degree,50000-99999,29861
East South Central Division,45-60,Male,High school degree,0-24999,65999
East South Central Division,45-60,Male,High school degree,100000-149999,122128
East South Central Division,45-60,Male,High school degree,150000+,96408
East South Central Division,45-60,Male,High school degree,25000-49999,97333
East South Central Division,45-60,Male,High school degree,50000-99999,197844
East South Central Division,45-60,Male,Less than high school degree,0-24999,43685
East South Central Division,45-60,Male,Less than high school degree,100000-149999,29899
East South Central Division,45-60,Male,Less than high school degree,150000+,21077
East South Central Division,45-60,Male,Less than high school degree,25000-49999,45985
East South Central Division,45-60,Male,Less than high school degree,50000-99999,66672
East South Central Division,45-60,Male,Some college or Associate degree,0-24999,33490
East South Central Division,45-60,Male,Some college or Associate degree,100000-149999,132576
East South Central Division,45-60,Male,Some college or Associate degree,150000+,132375
East South Central Division,45-60,Male,Some college or Associate degree,25000-49999,51925
East South Central Division,45-60,Male,Some college or Associate degree,50000-99999,155648
East South Central Division,61+,Female,Bachelor degree,0-24999,35774
East South Central Division,61+,Female,Bachelor degree,100000-149999,63229
East South Central Division,61+,Female,Bachelor degree,150000+,76033
East South Central Division,61+,Female,Bachelor degree,25000-49999,58276
East South Central Division,61+,Female,Bachelor degree,50000-99999,110983
East South Central Division,61+,Female,Graduate degree,0-24999,17119
East South Central Division,61+,Female,Graduate degree,100000-149999,53144
East South Central Division,61+,Female,Graduate degree,150000+,67671
East South Central Division,61+,Female,Graduate degree,25000-49999,31865
East South Central Division,61+,Female,Graduate degree,50000-99999,82712
East South Central Division,61+,Female,High school degree,0-24999,204032
East South Central Division,61+,Female,High school degree,100000-149999,92169
East South Central Division,61+,Female,High school degree,150000+,69009
East South Central Division,61+,Female,High school degree,25000-49999,235497
East South Central Division,61+,Female,High school degree,50000-99999,264902
East South Central Division,61+,Female,Less than high school degree,0-24999,104630
East South Central Division,61+,Female,Less than high school degree,100000-149999,18598
East South Central Division,61+,Female,Less than high school degree,150000+,17240
East South Central Division,61+,Female,Less than high school degree,25000-49999,78654
East South Central Division,61+,Female,Less than high school degree,50000-99999,62511
East South Central Division,61+,Female,Some college or Associate degree,0-24999,131912
East South Central Division,61+,Female,Some college or Associate degree,100000-149999,98429
East South Central Division,61+,Female,Some college or Associate degree,150000+,87374
East South Central Division,61+,Female,Some college or Associate degree,25000-49999,170343
East South Central Division,61+,Female,Some college or Associate degree,50000-99999,241214
East South Central Division,61+,Male,Bachelor degree,0-24999,20441
East South Central Division,61+,Male,Bachelor degree,100000-149999,67710
East South Central Division,61+,Male,Bachelor degree,150000+,89345
East South Central Division,61+,Male,Bachelor degree,25000-49999,42241
East South Central Division,61+,Male,Bachelor degree,50000-99999,104268
East South Central Division,61+,Male,Graduate degree,0-24999,8199
East South Central Division,61+,Male,Graduate degree,100000-149999,48545
East South Central Division,61+,Male,Graduate degree,150000+,89445
East South Central Division,61+,Male,Graduate degree,25000-49999,20049
East South Central Division,61+,Male,Graduate degree,50000-99999,63120
East South Central Division,61+,Male,High school degree,0-24999,112497
East South Central Division,61+,Male,High school degree,100000-149999,85043
East South Central Division,61+,Male,High school degree,150000+,57775
East South Central Division,61+,Male,High school degree,25000-49999,180032
East South Central Division,61+,Male,High school degree,50000-99999,239887
