"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2024)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies:"
"  East North Central Division"
"  East South Central Division"
"  Middle Atlantic Division"
"  Mountain Division"
"  New England Division"
"  Pacific Division"
"  South Atlantic Division"
"  West North Central Division"
"  West South Central Division"
"","","Income_Group (HINCP_RC1)","","","","",""
"Group","Educational attainment","Total Income_Group (HINCP_RC1)","0-24999","25000-49999","50000-99999","100000-149999","150000+"
"","No schooling completed","64,288","11,728","12,910","18,866","10,432","10,352"
"","Nursery school, preschool","2,697","0","292","1,896","229","280"
"","Kindergarten","1,105","0","76","292","436","301"
"","Grade 1","1,257","34","135","910","0","178"
"","Grade 2","2,590","0","1,274","55","940","321"
"","Grade 3","3,167","369","957","1,344","192","305"
"","Grade 4","3,558","749","1,061","1,627","121","0"
"","Grade 5","6,073","134","1,426","2,033","2,047","433"
"","Grade 6","23,558","2,370","6,882","7,119","3,908","3,279"
"","Grade 7","7,947","1,056","1,410","2,178","1,607","1,696"
"","Grade 8","27,779","4,091","7,221","8,172","4,456","3,839"
"","Grade 9","29,870","8,026","6,499","8,435","3,426","3,484"
"","Grade 10","25,441","5,875","7,898","5,946","2,501","3,221"
"","Grade 11","32,468","8,437","7,566","9,375","3,606","3,484"
"","12th grade - no diploma","64,933","12,619","11,024","19,834","9,294","12,162"
"","Regular high school diploma","635,068","81,600","123,114","203,453","123,558","103,343"
"","GED or alternative credential","125,248","20,542","22,118","36,644","25,510","20,434"
"","Some college, but less than 1 year","177,493","17,671","31,789","53,587","35,351","39,095"
"","1 or more years of college credit, no degree","354,588","37,123","55,734","108,910","78,049","74,772"
"","Associate's degree","378,073","25,314","45,993","121,346","93,871","91,549"
"","Bachelor's degree","1,223,633","41,586","80,527","240,503","272,547","588,470"
"","Master's degree","809,216","17,032","26,040","128,981","170,854","466,309"
"","Professional degree beyond a bachelor's degree","140,092","2,771","2,907","15,176","20,017","99,221"
"","Doctorate degree","102,900","2,785","2,498","11,278","21,664","64,675"
" -> Middle Atlantic Division -> 45-60","","8,170,480","570,563","793,050","1,832,412","1,635,247","3,339,208"
" -> Middle Atlantic Division -> 45-60 -> Male","","3,921,847","244,149","347,504","865,301","793,396","1,671,497"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","101,675","12,339","16,071","27,860","18,397","27,008"
"","Nursery school, preschool","1,005","0","171","419","415","0"
"","Kindergarten","926","0","139","374","167","246"
"","Grade 1","3,963","826","860","1,029","434","814"
"","Grade 2","4,885","273","1,068","2,536","274","734"
"","Grade 3","5,880","163","2,047","1,679","842","1,149"
"","Grade 4","6,942","974","1,581","2,440","826","1,121"
"","Grade 5","9,524","983","1,132","2,518","2,666","2,225"
"","Grade 6","34,801","2,162","6,256","10,728","8,344","7,311"
"","Grade 7","10,239","4,257","1,968","1,312","1,162","1,540"
"","Grade 8","39,336","4,903","5,930","12,591","6,521","9,391"
"","Grade 9","33,117","4,729","6,050","10,019","7,728","4,591"
"","Grade 10","43,874","7,578","6,734","12,780","7,096","9,686"
"","Grade 11","47,417","8,442","9,310","13,831","7,637","8,197"
"","12th grade - no diploma","89,874","8,224","14,523","29,287","16,353","21,487"
"","Regular high school diploma","944,953","75,745","117,420","293,161","223,425","235,202"
"","GED or alternative credential","171,600","22,433","23,338","45,732","37,302","42,795"
"","Some college, but less than 1 year","213,971","12,423","15,825","54,587","57,056","74,080"
"","1 or more years of college credit, no degree","359,964","21,546","34,359","82,927","75,255","145,877"
"","Associate's degree","315,077","14,436","26,259","74,256","80,500","119,626"
"","Bachelor's degree","847,940","26,954","41,885","118,121","151,662","509,318"
"","Master's degree","437,336","10,832","10,086","52,602","64,502","299,314"
"","Professional degree beyond a bachelor's degree","113,159","3,034","2,409","7,892","11,745","88,079"
"","Doctorate degree","84,389","893","2,083","6,620","13,087","61,706"
" -> Middle Atlantic Division -> 45-60 -> Female","","4,248,633","326,414","445,546","967,111","841,851","1,667,711"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","102,134","14,315","17,157","32,052","16,952","21,658"
"","Nursery school, preschool","1,544","54","561","142","436","351"
"","Kindergarten","1,010","200","30","388","114","278"
"","Grade 1","2,360","653","852","223","527","105"
"","Grade 2","2,200","84","324","776","653","363"
"","Grade 3","6,916","998","912","2,548","1,484","974"
"","Grade 4","6,016","809","906","1,898","803","1,600"
"","Grade 5","10,053","1,901","1,356","3,922","1,404","1,470"
"","Grade 6","29,867","2,603","7,362","9,469","5,448","4,985"
"","Grade 7","9,228","1,304","783","3,150","1,033","2,958"
"","Grade 8","33,311","6,536","6,924","7,821","6,177","5,853"
"","Grade 9","32,363","6,594","8,294","9,942","3,911","3,622"
"","Grade 10","35,013","9,220","6,825","9,753","5,041","4,174"
"","Grade 11","41,751","9,974","10,850","11,594","5,061","4,272"
"","12th grade - no diploma","88,057","13,250","15,389","25,054","16,177","18,187"
"","Regular high school diploma","861,628","94,104","132,454","265,077","175,397","194,596"
"","GED or alternative credential","155,597","24,503","26,452","44,752","30,593","29,297"
"","Some college, but less than 1 year","230,338","24,243","31,955","58,833","48,523","66,784"
"","1 or more years of college credit, no degree","371,383","28,111","47,139","94,465","80,837","120,831"
"","Associate's degree","433,827","29,982","50,550","109,919","102,639","140,737"
"","Bachelor's degree","972,222","37,222","52,964","165,596","197,379","519,061"
"","Master's degree","629,613","14,581","20,995","93,390","115,107","385,540"
"","Professional degree beyond a bachelor's degree","109,450","3,044","2,212","8,913","13,638","81,643"
"","Doctorate degree","82,752","2,129","2,300","7,434","12,517","58,372"
" -> Middle Atlantic Division -> 61+","","10,113,839","1,483,778","1,697,925","2,855,614","1,690,106","2,386,416"
" -> Middle Atlantic Division -> 61+ -> Male","","4,534,014","542,791","689,953","1,304,351","812,791","1,184,128"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","119,408","26,655","23,493","30,191","17,728","21,341"
"","Nursery school, preschool","1,503","581","105","274","54","489"
"","Kindergarten","1,588","634","183","14","145","612"
"","Grade 1","1,553","371","133","222","216","611"
"","Grade 2","3,801","1,586","526","1,178","337","174"
"","Grade 3","12,351","4,631","2,341","2,607","1,335","1,437"
"","Grade 4","10,384","4,748","1,754","1,657","1,240","985"
"","Grade 5","16,378","5,512","2,416","3,438","1,830","3,182"
"","Grade 6","28,948","7,269","6,371","8,236","2,787","4,285"
"","Grade 7","14,346","4,471","2,451","3,224","1,938","2,262"
"","Grade 8","45,509","12,170","11,410","10,743","5,289","5,897"
"","Grade 9","41,187","11,673","10,140","9,843","6,805","2,726"
"","Grade 10","67,034","17,541","14,254","17,319","8,640","9,280"
"","Grade 11","66,074","16,877","13,568","20,637","7,086","7,906"
"","12th grade - no diploma","102,225","20,193","21,548","30,117","12,307","18,060"
"","Regular high school diploma","1,235,360","179,323","256,316","412,882","207,730","179,109"
